id,product_id,created,tag,shop_id,price,price_diff
23929024,213048,2019-09-11 12:45:32,normal,281,575,1
23852434,213048,2019-09-08 12:45:34,normal,281,574,-6
23820071,213048,2019-09-06 12:53:53,normal,281,580,-6
23808072,213048,2019-09-06 07:20:59,normal,281,586,1
23795709,213048,2019-09-05 12:42:02,normal,58,585,3
23772547,213048,2019-09-04 12:42:13,normal,281,582,-3
23760619,213048,2019-09-04 07:30:33,normal,281,585,2
23741667,213048,2019-09-03 12:58:20,normal,58,583,3
23699291,213048,2019-08-31 12:54:04,normal,281,580,1
23692436,213048,2019-08-31 07:31:27,normal,281,579,0
23678565,213048,2019-08-30 13:13:23,normal,58,579,3
23643286,213048,2019-08-29 17:02:09,normal,281,576,-1
23596506,213048,2019-08-28 13:31:33,normal,281,577,2
23575442,213048,2019-08-27 13:35:24,normal,281,575,-1
23544856,213048,2019-08-25 07:30:56,normal,281,576,0
23539160,213048,2019-08-24 16:46:04,normal,58,576,3
23512422,213048,2019-08-23 13:31:37,normal,281,573,-5
23494543,213048,2019-08-22 12:59:02,normal,281,578,2
23476619,213048,2019-08-21 13:01:04,normal,281,576,-3
23464038,213048,2019-08-20 16:54:29,normal,281,579,-15
23431837,213048,2019-08-18 07:15:15,normal,281,594,17
23426869,213048,2019-08-17 12:48:26,normal,58,577,3
23421072,213048,2019-08-17 07:22:18,normal,281,574,2
23411303,213048,2019-08-16 12:46:20,normal,58,572,3
23390988,213048,2019-08-15 12:46:07,normal,281,569,-2
23373884,213048,2019-08-14 12:49:06,normal,281,571,1
23349949,213048,2019-08-13 12:56:13,normal,281,570,-2
23298901,213048,2019-08-09 16:43:39,normal,281,572,2
23275619,213048,2019-08-08 12:46:37,normal,281,570,-1
23254848,213048,2019-08-07 12:45:25,normal,281,571,1
23234453,213048,2019-08-06 12:48:32,normal,281,570,1
23223489,213048,2019-08-06 07:23:07,normal,281,569,6
23213004,213048,2019-08-05 12:46:19,normal,58,563,2
23174857,213048,2019-08-02 16:47:30,normal,281,561,2
23120652,213048,2019-07-31 12:46:36,normal,281,559,1
23110487,213048,2019-07-31 07:30:50,normal,281,558,1
23103715,213048,2019-07-30 16:41:48,normal,58,557,3
23067701,213048,2019-07-27 12:41:17,normal,281,554,-1
23033736,213048,2019-07-26 07:01:16,normal,281,555,3
23026431,213048,2019-07-25 16:48:09,normal,58,552,2
23000651,213048,2019-07-24 12:48:30,normal,281,550,-1
22948205,213048,2019-07-21 07:43:13,normal,281,551,0
22941648,213048,2019-07-20 12:43:29,normal,58,551,2
